Madrid Wind Speed [10 m]	Madrid Wind Direction [10 m]	Madrid Sunshine Duration
17.339897	131.63353	0.0
13.441071	110.376434	0.0
11.885453	88.26429	0.0
11.503113	69.86369	0.0
11.304229	52.76516	0.0
11.885453	35.134186	0.0
11.525623	38.659805	0.0
12.538134	39.173645	0.0
11.709688	44.999985	0.0
11.808878	52.431404	59.9
14.77755	55.922806	30.0
16.516901	73.53998	6.382978
15.124284	91.36392	0.0
13.084402	97.90716	13.404254
18.709612	149.98163	60.0
20.140705	155.72556	60.0
22.768398	161.56505	44.68085
27.943514	165.06857	60.0
28.019936	159.70242	60.0
27.691935	153.76807	60.0
25.603062	152.35402	59.61702
22.104116	149.67639	38.775852
20.523157	142.12502	0.0
17.31746	136.6847	0.0
14.113652	127.7468	0.0
11.91812	115.01689	0.0
8.209263	74.74488	0.0
5.904439	52.431404	0.0
6.3690495	47.29059	0.0
9.686609	41.987198	0.0
11.525623	38.659805	0.0
13.246826	42.797394	0.0
13.237038	44.999985	1.060993
13.755579	42.87889	60.0
15.408671	52.594643	60.0
16.87398	78.929794	60.0
14.332341	101.59217	14.680849
17.713316	142.43141	7.021276
14.291592	139.08562	60.0
19.272614	147.20047	60.0
20.674156	144.92624	60.0
21.30093	149.53445	60.0
20.570463	147.14427	60.0
21.889065	143.6955	60.0
21.889065	143.6955	57.89362
17.339897	138.36646	39.296097
20.26899	123.40782	0.0
18.875126	124.9025	0.0
15.379206	106.31385	0.0
13.493999	80.78897	0.0
12.879752	63.43495	0.0
14.24163	69.274445	0.0
12.4811535	56.768288	0.0
15.778518	62.85031	0.0
14.48972	63.43495	0.0
12.979984	56.30993	0.0
6.696387	36.25383	0.0
9.726664	38.990982	0.0
15.937878	71.56504	55.404255
13.527572	115.20112	53.61702
12.413477	119.53878	53.61702
13.684735	153.43495	53.61702
14.417988	177.13759	53.61702
15.158522	184.08562	60.0
12.682018	214.59229	56.808514
14.934577	254.62375	60.0
17.298738	257.98853	60.0
17.309973	253.07248	53.61702
13.797913	254.87599	60.0
10.440001	270.0	40.95
14.869351	276.95297	0.0
16.93531	272.43665	0.0
14.154915	277.30576	0.0
10.086427	267.9546	0.0
6.725354	254.47589	0.0
10.514218	218.04704	0.0
9.422101	226.54816	0.0
7.491114	215.21759	0.0
7.7043357	217.40535	0.0
7.754637	201.8014	0.0
9.028754	203.49857	0.0
10.195057	222.1376	0.0
12.24	241.92752	0.0
13.237039	247.61987	0.0
13.708391	256.3287	0.0
14.332341	258.40784	0.0
15.546833	264.68546	0.0
8.707237	299.74487	43.404255
6.6185193	292.38013	56.170216
6.9247384	297.89728	51.70213
6.297428	300.96375	22.978725
6.763786	295.2011	47.234047
7.5170207	286.69925	47.234047
6.87779	276009	17.865248
6.830519	288.43497	0.0
5.154415	294.77515	0.0
4.2136917	289.98312	0.0
2.5959969	326.30994	0.0
4.198285	30.963745	0.0
5.6233797	50.194427	0.0
4.510787	61.38954	0.0
3.6	53.130096	0.0
3.319036	40.601288	0.0
5.0911684	44.999985	0.0
5.8603754	47.489548	6.3166666
7.4128532	60.945396	0.0
6.489992	70.55996	57.510635
4.0249224	63.43495	60.0
3.096837	35.53766	60.0
5.315336	28.30075	60.0
7.2805495	8.530762	20.425533
10.296251	36.469223	33.82979
9.585739	34.286865	0.0
10.24578	18.434952	0.6382978
9.746631	4.236374	5.1063824
10.239453	10.124664	0.0
9.449572	17.74466	21.063831
4.802999	347.00537	43.0
10.483357	15.945404	0.0
21.817902	52.373756	0.0
21.599998	53.130096	0.0
21.749483	61.31385	0.0
20.12461	63.43495	0.0
10.990322	58.392494	0.0
13.324863	51.58194	0.0
13.044722	50.599335	0.0
13.324863	51.58194	0.0
13.18308	55.007973	0.0
16.09969	63.43495	7.9333334
18.218275	60.39554	60.0
21.178896	58.20108	60.0
20.991426	59.036232	60.0
18.58451	58.465202	60.0
13.281023	57.171448	60.0
11.246759	50.194427	60.0
10.296251	53.53076	60.0
8.209263	37.87497	60.0
8.39657	30.963745	60.0
9.387651	32.47119	60.0
8.435069	39.805573	60.0
6.989936	34.508514	60.0
4.6800003	22.619858	44.033333
8.913181	46.636566	0.0
14.05845	39.805573	0.0
16.323528	41.42366	0.0
17.654688	39.2072	0.0
18.668005	39.522614	0.0
11.808878	52.431404	0.0
12.229406	47.38594	0.0
11.212135	47.602554	0.0
11.709688	44.999985	0.0
10.691453	44.999985	0.0
12.538134	50.82634	9.55
11.304229	52.76516	60.0
9.178235	48.179825	60.0
5.937272	75.96376	60.0
3.8773184	111.80141	60.0
0.71999997	180.0	60.0
3.6	270.0	60.0
5.991594	237.26477	60.0
7.628263	250.70996	60.0
7.5685663	267.27368	60.0
7.2805495	261.46924	60.0
8.12197	282.80426	60.0
9.6932955	285.06848	60.0
7.42159	284.03625	45.066666
9.339208	297.55283	0.0
10.587917	342.18112	0.0
8.759178	9.462311	0.0
9.107359	18.434952	0.0
9.793059	36.027374	0.0
6.9899354	11.888657	0.0
5.495161	31.607498	0.0
5.3517847	47.726303	0.0
6.618519	44.999985	0.0
10.44	46.397186	0.0
8.404285	46.735703	11.133333
6.193674	54.46232	60.0
3.671294	78.69006	60.0
2.3051248	128.6598	60.0
5.0528407	184.08562	60.0
6.989936	214.50853	60.0
7.289445	237.09476	60.0
5.4477882	262.40536	60.0
8.473393	282.26477	60.0
12.413477	299.5388	60.0
16.055355	312.27368	60.0
17.208603	322.65067	60.0
14.33234	334.7223	60.0
13.084402	7.9071655	1.9617019
18.204042	24.53772	0.0
23.977188	41.347763	0.0
